Emotion,Round,Condition,Location,Mean_Pressure,Max_Pressure,Pressure_Variance,Pressure_Gradient,Median_Force,Contact_Area,Rate_of_Pressure_Change,Pressure_Std,Num_Touches,Max_Touch_Duration,Min_Touch_Duration,Mean_Touch_Duration,Estimated_Sampling_Rate,Max_Touch_Area,PN
attention,round3,torso,torso,13.03356968011092,83.65076037092717,131.47531206550175,0.1485467512828375,8.229891663801151,2.362068965517241,0.1485467512828375,11.466268445553755,16,0.6449511400651465,0.0358306188925081,0.2776872964169381,27.90909090909091,9,03
Love,round3,torso,torso,7.49275680625259,17.087737023383017,6.455545754654659,0.1395841916699345,6.643274288625667,1,0.1395841916699345,2.5407766046338387,14,0.2955223880597015,0.0328358208955223,0.1008528784648187,30.454545454545453,1,03
Comfort,round2,torso,torso,12.071791615241152,58.52677991275358,57.536285013556125,0.1538169590358796,9.453217324894595,5.5506607929515415,0.1538169590358796,7.585267629659228,3,4.595394736842105,0.2171052631578947,2.75,27.63636363636364,13,03
Gratitude,round3,torso,torso,22.899655067369476,105.8987970945761,419.7932735021076,0.2097989590627895,14.423682295194304,21.30638297872341,0.2097989590627895,20.48885730103335,3,9.099264705882351,0.0404411764705882,3.181372549019608,24.727272727272727,42,03
Happiness,round2,torso,torso,26.146570145392733,93.58749539960726,469.6359819373324,0.1781080713000047,17.828417977304895,22.95539033457249,0.1781080713000047,21.67108631188876,3,7.531847133757961,0.875796178343949,3.141188959660297,28.545454545454547,36,03
Empathy,round2,torso,torso,12.69215798254622,48.382744141707725,45.68980984389683,0.1557629396419847,10.520037477759804,11.302788844621514,0.1557629396419847,6.7594237804636,2,9.141891891891891,0.2229729729729729,4.6824324324324325,26.90909090909091,21,03
Sadness,round1,torso,torso,7.578300132561099,35.48169814477748,8.93090616588514,0.1491447979907428,6.543595260609689,1.338235294117647,0.1491447979907428,2.988462174076349,17,0.5254777070063694,0.0350318471337579,0.1627950543274634,28.545454545454547,3,03
Gratitude,round1,torso,torso,28.59519951818566,99.89617583244484,554.3920208951226,0.1903385862738435,19.381655410164345,25.12692307692308,0.1903385862738435,23.545530805125686,4,8.592592592592593,0.037037037037037,2.416666666666667,27,38,03
attention,round1,torso,torso,17.94399059691649,86.27084920408535,337.4243766279847,0.1551465016203645,9.471033488654754,1.9836065573770487,0.1551465016203645,18.36911474807604,6,1.0454545454545454,0.0454545454545454,0.4696969696969697,22,5,03
Sadness,round3,torso,torso,16.86756754115201,86.94855371094138,178.3698756171284,0.1801138409347844,12.269468181837023,8.474178403755868,0.1801138409347844,13.355518545422653,1,9.7625,9.7625,9.7625,21.818181818181817,15,03
Love,round2,torso,torso,9.11944916248986,63.96980689667015,47.911226533684136,0.15422316192815,6.854182680765938,1.5217391304347827,0.15422316192815,6.921793592247903,22,0.6962025316455697,0.0348101265822784,0.1344936708860759,28.727272727272727,4,03
Love,round1,torso,torso,8.869894829223087,68.33523772396335,36.2123846666924,0.1634488582125341,7.1858450670206455,1.9098360655737705,0.1634488582125341,6.017672695211363,9,1.826086956521739,0.0434782608695652,0.6280193236714975,23,4,03
Empathy,round3,torso,torso,28.582967561187974,96.67953084860156,667.9763217838624,0.171927567898958,15.255839592370512,19.85551330798479,0.171927567898958,25.845237893737067,2,9.454248366013072,0.0359477124183006,4.745098039215686,27.818181818181817,29,03
Anger,round1,torso,torso,26.68802104505412,135.17358663541037,790.6560168061657,0.2275296696615429,14.342609201388626,14.947791164658634,0.2275296696615429,28.118606238684123,6,2.467948717948718,1.0224358974358974,1.4748931623931625,28.363636363636363,34,03
Anger,round2,torso,torso,22.8359420364658,161.44837777581688,681.9662619704905,0.1861572378355201,11.69631082220492,11.600961538461538,0.1861572378355201,26.11448375845271,6,2.607407407407407,0.5296296296296296,1.4191358024691356,24.545454545454547,25,03
Empathy,round1,torso,torso,12.958979349418994,89.77412091171152,93.34904647077302,0.1618772671779466,9.96416987020794,7.52046783625731,0.1618772671779466,9.661731028691133,4,3.5158227848101267,0.0348101265822784,1.6621835443037976,28.727272727272727,17,03
Sadness,round2,torso,torso,9.407595252576602,34.76410586196017,21.35927118419466,0.1556607616029273,7.934909438250264,3.319767441860465,0.1556607616029273,4.6216091552828935,9,3.044025157232704,0.0345911949685534,0.7148846960167714,28.90909090909091,11,03
Happiness,round3,torso,torso,25.767874302019106,101.47044016795924,564.3776086237955,0.2027098238342345,15.4255385113607,15.401639344262296,0.2027098238342345,23.75663293953492,3,4.908227848101266,0.9050632911392406,2.854430379746836,28.727272727272727,31,03
Anger,round3,torso,torso,31.94289885476853,143.43166864250168,922.8761814309476,0.2035170296737029,18.74121457809817,32.0110294117647,0.2035170296737029,30.378877224659696,1,10.01,10.01,10.01,27.272727272727277,42,03
